codigo,nome,docente,horas,modalidade,situacao,horario,local,matriculados,capacidade
COMP377,ACE 1: PROJETO I (GRADUAÇÃO),ROBERTA VILHENA VIEIRA LOPES,75,Presencial,ABERTA,6T12,Instituto de Computação,43,42
COMP383,ACE 2: CONTINUIDADE DO PROJETO I (GRADUAÇÃO),OLIVAL DE GUSMAO FREITAS JUNIOR,75,Presencial,ABERTA,6T23,Instituto de Computação,43,42
COMP384,ACE 3: PROJETO 2 (GRADUAÇÃO),ALMIR PEREIRA GUIMARAES,73,Presencial,ABERTA,5T56,Instituto de Computação,43,43
COMP388,ACE 4: CONTINUAÇÃO DO PROJETO 2 (GRADUAÇÃO),OLIVAL DE GUSMAO FREITAS JUNIOR,75,Presencial,ABERTA,5M456,Instituto de Computação,46,47
COMP385,ACE 5: EVENTO (GRADUAÇÃO),THIAGO DAMASCENO CORDEIRO,75,Presencial,ABERTA,7M34,Instituto de Computação,66,66
ECOM011,ÁLGEBRA LINEAR (GRADUAÇÃO),ARTURO JIMENEZ LOAIZA,60,Presencial,ABERTA,24T34,Auditório-IC,66,76
COMP390,APRENDIZAGEM DE MÁQUINA (GRADUAÇÃO),AYDANO PAMPONET MACHADO,72,Presencial,ABERTA,24T56,Instituto de Computação,40,42
ECOM041,BANCO DE DADOS (GRADUAÇÃO),MARIA CRISTINA TENORIO CAVALCANTE ESCARPINI,60,Presencial,ABERTA,24M56,Lab01(Segunda); Auditório-IC(Quarta),48,55
CPT0035,CÁLCULO 1 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,72,Presencial,ABERTA,35M34,Instituto de Computação,67,75
CPT0036,CÁLCULO 2 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,72,Presencial,ABERTA,35T12,Instituto de Computação,42,70
ECOM017,CÁLCULO 3 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,60,Presencial,ABERTA,36M12,Bloco-12-IM-Sala-204,38,41
COMP379,COMPILADORES (GRADUAÇÃO),ARTURO HERNANDEZ DOMINGUEZ,72,Presencial,ABERTA,24M56,Instituto de Computação,37,40
COMP397,COMPUTAÇÃO EVOLUCIONÁRIA (GRADUAÇÃO),ROBERTA VILHENA VIEIRA LOPES,72,Presencial,ABERTA,24M56,Instituto de Computação,36,41
COMP381,COMPUTAÇÃO GRÁFICA (GRADUAÇÃO),MARCELO COSTA OLIVEIRA,72,Presencial,ABERTA,36M56,Istituto de Computaçãp,39,41
ECOM039,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DE IMAGENS (GRADUAÇÃO),TIAGO FIGUEIREDO VIEIRA,60,Presencial,ABERTA,35T12,Sala-02-IC,28,40
COMP361,COMPUTAÇÃO SOCIEDADE E ÉTICA (GRADUAÇÃO),PETRUCIO ANTONIO MEDEIROS BARROS,72,Presencial,ABERTA,24M56,Instituto de Computação,39,45
COMP389,CONCEITOS DE LINGUAGEM DE PROGRAMAÇÃO (GRADUAÇÃO),RAFAEL DE AMORIM SILVA,72,Presencial,ABERTA,35T34,Instituto de Computação,41,43
COMP364,ESTRUTURA DE DADOS (GRADUAÇÃO),ROBERTA VILHENA VIEIRA LOPES,72,Presencial,ABERTA,24T34,Instituto de Computação,33,43
ECOM005,GEOMETRIA ANALÍTICA (GRADUAÇÃO),ARTURO JIMENEZ LOAIZA,60,Presencial,ABERTA,35M56,Auditório-IC,69,80
