codigo,nome,docente,matriculados,modalidade,situacao,horario,local,capacidade,material
ECOM011,ÁLGEBRA LINEAR (GRADUAÇÃO),ARTURO JIMENEZ LOAIZA,66,Presencial,ABERTA,24T34,Auditório-IC,76,0
COMP390,APRENDIZAGEM DE MÁQUINA (GRADUAÇÃO),AYDANO PAMPONET MACHADO,40,Presencial,ABERTA,24T56,Instituto de Computação,42,0
ECOM193,APRENDIZAGEM DE MÁQUINA EM SISTEMAS EMBARCADOS (GRADUAÇÃO),ERICK DE ANDRADE BARBOZA,11,Presencial,ABERTA,26M56,Sala-03-IC,25,0
ECOM061,AUTOMAÇÃO INDUSTRIAL (GRADUAÇÃO),JOAO RAPHAEL SOUZA MARTINS,25,Presencial,ABERTA,6T1234,Sala-02-IC,30,0
ECOM041,BANCO DE DADOS (GRADUAÇÃO),MARIA CRISTINA TENORIO CAVALCANTE ESCARPINI,48,Presencial,ABERTA,24M56,Lab01(Segunda); Auditório-IC(Quarta),55,1
CPT0035,CÁLCULO 1 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,67,Presencial,ABERTA,35M34,Instituto de Computação,75,0
CPT0036,CÁLCULO 2 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,42,Presencial,ABERTA,35T12,Instituto de Computação,70,0
ECOM017,CÁLCULO 3 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,38,Presencial,ABERTA,36M12,Bloco-12-IM-Sala-204,41,0
ECOM023,CÁLCULO 4 (GRADUAÇÃO),GLEYDSON SANTOS DA SILVA,27,Presencial,ABERTA,56T56,Bloco-12-IM-Sala-204,30,0
ECOM012,CIRCUITOS DIGITAIS (GRADUAÇÃO),ALMIR PEREIRA GUIMARAES,38,Presencial,ABERTA,3T56,Sala-03-IC,40,2
ECOM028,CIRCUITOS ELÉTRICOS (GRADUAÇÃO),JOBSON DE ARAUJO NASCIMENTO,39,Presencial,ABERTA,24M12,Sala-03-IC,40,2
ECOM039,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DE IMAGENS (GRADUAÇÃO),TIAGO FIGUEIREDO VIEIRA,28,Presencial,ABERTA,35T12,Sala-02-IC,40,1
ECOM048,COMPUTADOR SOCIEDADE E ÉTICA (GRADUAÇÃO),OLIVAL DE GUSMAO FREITAS JUNIOR,23,Presencial,ABERTA,3T56,sala-35,30,0
ECOM013,DESENHO (GRADUAÇÃO),DILSON BATISTA FERREIRA,34,Presencial,ABERTA,6T1234,Laboratório-01,35,0
ECOM035,ELETRÔNICA (GRADUAÇÃO),JOAO RAPHAEL SOUZA MARTINS,13,Presencial,ABERTA,56T56,Sala-03-IC,30,0
ECOM200,ELETRÔNICA DE POTÊNCIA (GRADUAÇÃO),MAURICIO BELTRAO DE ROSSITER CORREA,5,Presencial,ABERTA,35M56,Laboratório-04,20,3
ECOM040,EMPREENDEDORISMO (GRADUAÇÃO),MARIO HOZANO LUCAS DE SOUZA,27,Presencial,ABERTA,35T34,Sala-02-IC,31,0
ECOM021,ENGENHARIA DE SOFTWARE (GRADUAÇÃO),ARTURO HERNANDEZ DOMINGUEZ,28,Presencial,ABERTA,23T56,Sala-02-IC,30,1
